№;Дата;Тип ошибки;Описание ошибки;Статус;Приоритет
1;15.06.2024;Функциональный дефект;Данные не сохраняются при попытке отправки формы;Исправлено;Высокий
2;16.06.2024;Функциональный дефект;"Кнопка ""Отправить"" не активна при заполненной форме";Исправлено;Высокий
3;17.06.2024;Функциональный дефект;Неверное отображение статуса заказа;Исправлено;Средний
4;18.06.2024;Функциональный дефект;Ошибка при загрузке файлов в профиль;В работе;Высокий
5;19.06.2024;Функциональный дефект;Не обновляется информация о пользователе;В работе;Средний
6;20.06.2024;Визуальный дефект;Искажение графики на странице профиля пользователя;В работе;Средний
7;21.06.2024;Визуальный дефект;Неправильное отображение шрифтов на главной странице;Исправлено;Низкий
8;22.06.2024;Визуальный дефект;Проблемы с отображением изображений в галерее;Исправлено;Средний
9;23.06.2024;Визуальный дефект;Отсутствие отступов между элементами интерфейса;Исправлено;Низкий
10;24.06.2024;Визуальный дефект;Неправильное выравнивание кнопок на мобильной версии;В работе;Средний
11;01.07.2024;Ошибка производительности;Приложение зависает при загрузке большого объема данных;Ожидает проверки;Высокий
12;02.07.2024;Ошибка производительности;Долгое время отклика при поиске;Исправлено;Средний
13;03.07.2024;Ошибка производительности;Замедление при открытии нескольких вкладок;В работе;Высокий
14;04.07.2024;Ошибка производительности;Проблемы с памятью при работе с большими файлами;Ожидает проверки;Высокий
15;05.07.2024;Ошибка производительности;Приложение тормозит при использовании фильтров;Исправлено;Средний
16;12.07.2024;Ошибка безопасности;Уязвимость в форме входа, позволяющая SQL-инъекции;Исправлено;Критический
17;13.07.2024;Ошибка безопасности;Возможность обхода аутентификации;Исправлено;Критический
18;14.07.2024;Ошибка безопасности;Уязвимость XSS на странице комментариев;В работе;Критический
19;15.07.2024;Ошибка безопасности;Утечка данных через API;Исправлено;Критический
20;16.07.2024;Ошибка безопасности;Неправильная обработка сессий;Исправлено;Высокий
21;25.07.2024;Ошибка локализации;"Некорректный перевод кнопки ""Отправить"" на испанский";Исправлено;Низкий
22;26.07.2024;Ошибка локализации;Ошибка в отображении даты на французском языке;Исправлено;Низкий
23;27.07.2024;Ошибка локализации;Проблемы с переводом уведомлений;В работе;Средний
24;28.07.2024;Ошибка локализации;Неверный перевод терминов в настройках;Исправлено;Низкий
25;29.07.2024;Ошибка локализации;Ошибка в отображении текста на русском языке;Исправлено;Низкий
26;01.08.2024;Функциональный дефект;Невозможно удалить учетную запись;В работе;Высокий
27;02.08.2024;Функциональный дефект;Проблемы с восстановлением пароля;Исправлено;Высокий
28;03.08.2024;Функциональный дефект;Ошибка при добавлении товара в корзину;Исправлено;Средний
29;04.08.2024;Функциональный дефект;Не отображаются комментарии к постам;Исправлено;Средний
30;05.08.2024;Функциональный дефект;Ошибка в расчетах при оформлении заказа;В работе;Высокий
31;10.08.2024;Визуальный дефект;Неправильное отображение меню на мобильных устройствах;Исправлено;Средний
32;11.08.2024;Визуальный дефект;Проблемы с отображением кнопок на разных разрешениях;Исправлено;Средний
33;12.08.2024;Визуальный дефект;Неправильные цвета на странице входа;Исправлено;Низкий
34;13.08.2024;Визуальный дефект;Искажение изображений в карусели;Исправлено;Средний
35;14.08.2024;Визуальный дефект;Неправильное отображение иконок в навигации;Исправлено;Низкий
36;30.08.2024;Ошибка производительности;Долгое время загрузки главной страницы;Ожидает проверки;Средний
37;31.08.2024;Ошибка производительности;Замедление при работе с фильтрами;В работе;Высокий
38;01.09.2024;Ошибка производительности;Приложение зависает при загрузке изображений;Исправлено;Средний
39;02.09.2024;Ошибка производительности;Высокая нагрузка на сервер в часы пик;Ожидает проверки;Высокий
40;03.09.2024;Ошибка производительности;Задержка при взаимодействии с базой данных;Исправлено;Средний
41;05.09.2024;Ошибка безопасности;Утечка данных при неправильной авторизации;Исправлено;Критический
42;06.09.2024;Ошибка безопасности;Уязвимость в обработке пользовательских данных;Исправлено;Критический
43;07.09.2024;Ошибка безопасности;Неправильная настройка прав доступа;Исправлено;Высокий
44;08.09.2024;Ошибка безопасности;Уязвимость в API для мобильных приложений;В работе;Критический
45;09.09.2024;Ошибка безопасности;Возможность доступа к закрытым данным без авторизации;Исправлено;Критический
46;10.09.2024;Ошибка локализации;Ошибка в отображении даты на русском языке;Исправлено;Низкий
47;11.09.2024;Функциональный дефект;Невозможно изменить адрес доставки;В работе;Высокий
48;12.09.2024;Функциональный дефект;Ошибка при добавлении нового пользователя;В работе;Высокий
49;13.09.2024;Функциональный дефект;Некорректное отображение статуса подписки;Исправлено;Средний
50;14.09.2024;Визуальный дефект;Неправильное отображение кнопок на страницах профиля;Исправлено;Средний
51;15.09.2024;Визуальный дефект;Проблемы с отображением фона на главной странице;Исправлено;Низкий
52;16.09.2024;Ошибка производительности;Приложение зависает при переходе между разделами;В работе;Высокий
53;17.09.2024;Ошибка производительности;Долгое время отклика при загрузке изображений;Исправлено;Средний
54;18.09.2024;Ошибка безопасности;Уязвимость в обработке форм обратной связи;В работе;Критический
55;19.09.2024;Ошибка безопасности;Возможность выполнения произвольного кода через API;Исправлено;Критический
56;20.09.2024;Ошибка локализации;Ошибка в переводе уведомлений на немецкий язык;Исправлено;Низкий
57;21.09.2024;Ошибка локализации;Некорректный перевод сообщения об ошибке;Исправлено;Низкий
58;22.09.2024;Функциональный дефект;Ошибка при обновлении профиля пользователя;В работе;Высокий
59;23.09.2024;Функциональный дефект;Невозможно получить доступ к истории заказов;В работе;Высокий
60;24.09.2024;Визуальный дефект;Неправильное отображение значков на странице настроек;Исправлено;Средний
